"T8 ,223000000000,0.277,7840,87200000000,1080000000,930000000,0.0000106,450,48"
"T8Mn ,210000000000,0.275,7900,80000000000,1080000000,930000000,0.000013,450,48"
"T9 ,210000000000,0.275,7900,80000000000,1130000000,980000000,0.000013,450,48"
"T10 ,210000000000,0.275,7900,80000000000,1150000000,990000000,0.000013,450,48"
"ZG230-450 (GB) ,211000000000,0.311,7830,80400000000,482549000,248168000,0.0000096,500,30"
"ZG20SiMn (GB) ,211000000000,0.29,7860,82100000000,482549000,248168000,0.00001265,500,30"
"ZG40Cr (GB) ,215000000000,0.27,7720,84210000000,482549000,248168000,0.000012265,500,30"
"Q295 ,206000000000,0.28,7850,79000000000,390000000,295000000,0.000013,460,44"
"Q345 ,206000000000,0.28,7850,79000000000,470000000,345000000,0.000013,460,44"
"Q390 ,206000000000,0.28,7850,79000000000,490000000,390000000,0.000013,460,44"
"Q420 ,206000000000,0.28,7850,79000000000,520000000,420000000,0.000013,460,44"
"Q460 ,206000000000,0.28,7850,79000000000,550000000,460000000,0.000013,460,44"
"4140,200000000000,0.29,7830,76000000000,795000000,610000000,0.0000118,460,44"
"20Cr ,207000000000,0.254,7830,82500000000,835000000,540000000,0.0000113,460,44"
"30Cr ,206000000000,0.29,7820,79000000000,885000000,685000000,0.000013,460,44"
"40Cr ,211000000000,0.277,7870,82800000000,980000000,785000000,0.00001199,460,44"
"45Cr ,206000000000,0.29,7820,79000000000,1030000000,835000000,0.000013,460,44"
"50Cr ,206000000000,0.29,7820,79000000000,1080000000,930000000,0.000013,460,44"
"15CrMo ,212000000000,0.284,7880,82500000000,440000000,295000000,0.00001337,460,44"
"20CrMo ,210000000000,0.278,7840,82200000000,885000000,685000000,0.0000127,460,44"
"20CrMoH ,210000000000,0.278,7840,82200000000,1258000000,1079000000,0.0000127,460,44"
"25Cr2MoV ,211000000000,0.3,7620,81000000000,1090000000,1042000000,0.0000118,460,44"
"25Cr2MoVA ,211000000000,0.3,7620,81000000000,930000000,785000000,0.0000118,460,44"
"25Cr3Mo3VNb# ,220000000000,0.28,7810,85500000000,885000000,685000000,0.00001007,460,44"
"30CrMo ,211000000000,0.279,7850,82200000000,9300000000,785000000,0.0000127,460,44"
"35CrMo ,213000000000,0.286,7870,82400000000,980000000,835000000,0.0000125,460,44"
"42CrMo ,212000000000,0.28,7850,82500000000,1080000000,930000000,0.00001243,460,44"
"7Cr7Mo3V2Si# ,225000000000,0.36,7720,82200000000,1080000000,930000000,0.0000111,460,44"
"9Cr2Mo# ,236000000000,0.3,7810,90700000000,1080000000,930000000,0.0000115,460,44"
"Cr12MoV ,218000000000,0.28,7850,85300000000,920000000,750000000,0.0000104,460,44"
"Cr4Mo4V# ,218000000000,0.29,7870,84100000000,1080000000,930000000,0.00001088,460,44"
"CrWMn ,220000000000,0.29,7930,85600000000,925000000,750000000,0.00001172,460,44"
"20CrMnMo ,207000000000,0.254,7870,82500000000,1175000000,885000000,0.0000112,460,44"
"40CrMnMo ,207000000000,0.254,7870,82500000000,9800000000,785000000,0.0000112,460,44"
"20CrMnTi ,212000000000,0.289,7860,81700000000,1080000000,835000000,0.0000127,460,44"
"30CrMnTi ,205000000000,0.25,7850,82000000000,1470000000,121000000,0.00001072,460,44"
"20CrMnSi ,210000000000,0.276,7800,82300000000,785000000,635000000,0.0000129,460,44"
